Layer,Name,GEOID,Population,UNS_2018-2022,LNG_2021,DIS_2018-2022,EDB_2018-2022,EDE_2018-2022,UMP_2018-2022,INC_2018-2022,POV_2018-2022,PCT-W_2018-2022,PCT-B_2018-2022,PCT-H_2018-2022
(Indicator name),,,,"Uninsured rate (% of residents), 2018-2022","Chronic obstructive pulmonary disease (COPD) (% of adults), 2021","Disability (% of residents), 2018-2022","High school graduation rate (% of residents), 2018-2022","College graduation rate (% of residents), 2018-2022","Unemployment rate (%), 2018-2022","Median household income, 2018-2022","Poverty rate (% of residents), 2018-2022","Demographics, Non-Hispanic White (% of residents), 2018-2022","Demographics, Non-Hispanic Black (% of residents), 2018-2022","Demographics, Hispanic or Latino (% of residents), 2018-2022"
(Definition),,,,"Percent of residents without health insurance (at the time of the survey).","Percent of resident adults aged 18 and older who report ever having been told by a doctor, nurse, or other health professional that they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis. Data for counties and states are age-adjusted. Data for zips, tracts and smaller layers are raw.","Percent of residents with a disability, defined as one or more sensory disabilities or difficulties with everyday tasks.","Residents 25 or older with at least a high school degree: including GED and any higher education","Residents 25 or older with a four-year college (bachelor's) degree or higher","Percent of residents 16 and older in the civilian labor force who are actively seeking employment.","Income in the past 12 months.","Percent of residents in families that are in poverty (below the Federal Poverty Level).","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Tables B27001/C27001)","PLACES (Sub-county data (zip codes, tracts)), Behavioral Risk Factor Surveillance System (BRFSS) (County and state level data)","American Community Survey (Table S1810)","American Community Survey (Table B15002)","American Community Survey (Table B15002)","American Community Survey (Tables B23025, B23001, and C23002)","American Community Survey (Table B19013)","American Community Survey (Table B17001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Census tract,Tract 101,17031010100,4905,15.03705474539804,5.5,14.27205355008367,88.65914786967419,52.94486215538847,9.76915356306457,62530.52339226691,19.4836241931628,41.1297852474323,31.442577030812323,21.47525676937441
Census tract,Tract 102.01,17031010201,6939,10.268292682926829,6.4,9.292682926829269,81.81631816318163,33.90733907339074,4.088541666666667,55997.44257858426,33.609756097560975,18.964677222898903,35.70036540803898,24.397076735688188
Census tract,Tract 102.02,17031010202,2742,19.55177743431221,7.4,16.035548686244205,86.71837130392632,46.24333494910325,8.914209115281501,53821.58282126932,23.75195007800312,30.017452006980804,32.98429319371728,19.406631762652705
Census tract,Tract 103,17031010300,6305,20.66053668605742,5.8,9.945580784387314,90.03496503496503,51.728826728826725,4.030655691172296,62658.89269948313,6.455244886470258,50.72951739618407,23.39265672599006,16.93121693121693
Census tract,Tract 104,17031010400,5079,9.166107757657054,3.9,13.838587078023698,99.39894815927872,60.368144252441766,3.2,44589.99578517713,18.58638743455497,74.91616364855801,7.914151576123407,8.450704225352112
Census tract,Tract 105.01,17031010501,4206,7.564528494761053,4.2,17.556861742908257,99.6811224489796,65.3061224489796,7.511569953720184,43882.13074824197,10.784564272936366,67.26296958855099,20.163557372859696,5.877843087145413
Census tract,Tract 105.02,17031010502,3278,11.887290871734663,4.4,14.147343704138535,96.8895078922934,66.991643454039,4.497955474784189,51176.25816899221,26.90447400241837,54.65218667449368,15.76166715585559,16.759612562371586
Census tract,Tract 105.03,17031010503,2565,3.2685146876292928,8.8,23.376086057095574,84.91879350348029,39.056457849961326,3.853046594982079,17192.317930743804,51.92387256930079,72.5279271824576,15.80471659081506,1.2412081092263136
Census tract,Tract 106,17031010600,6225,12.995983935742972,4.8,2.3775100401606424,94.50010658708165,66.1266254529951,2.547931382441978,60803.956210208744,14.68273092369478,55.49459162878194,20.144223232481583,13.95203009876156
Census tract,Tract 107.01,17031010701,3673,17.075208913649025,4.3,7.520891364902507,84.94505494505495,47.54578754578754,3.3030553261767133,64681.62621176157,7.520891364902507,38.050139275766014,20.83565459610028,30.55710306406685
Census tract,Tract 107.02,17031010702,4776,12.358894511483069,4.5,6.364344102763721,76.20610436494914,38.004594683295046,9.497859089139745,47856.99465382994,19.68901846452867,23.65967365967366,36.53846153846153,34.557109557109555
Census tract,Tract 201,17031020100,4202,17.621594092182328,5.300000000000001,7.231983702571938,87.19309887193099,36.23092236230923,9.427748044462742,52291.23729452738,18.71657754010695,24.57346574993634,38.7318563789152,26.152279093455565
Census tract,Tract 202,17031020200,7128,15.215882271275856,5.3,6.164098292378176,84.16003743565746,52.29293401965373,4.605659241420831,107284.6485059562,6.945409084595084,45.53658197973067,6.858253505483826,29.737609329446062
Census tract,Tract 203.01,17031020301,5261,9.025603241849328,7.0,16.651317001289375,95.17520215633422,54.33962264150944,8.520559559135227,67429.64630981167,11.235955056179774,78.25846833578792,1.8225331369661268,6.388070692194403
Census tract,Tract 203.02,17031020302,5010,5.565862708719852,5.3,5.75139146567718,95.51188031680844,52.21472572601936,10.540970564836911,77209.5536724417,6.1902783547985045,70.35185541242069,7.017881176696789,12.536050759469331
Census tract,Tract 204,17031020400,4435,21.850718153991053,5.2,8.547209795149517,86.88524590163934,51.50819672131147,6.421267893660532,70242.76798509284,14.214876033057852,33.670112781954884,18.98496240601504,35.31484962406015
Census tract,Tract 205,17031020500,6599,19.84399375975039,7.5,10.95163806552262,80.35126234906696,26.54226125137212,7.098765432098765,40296.95938241753,31.341653666146644,20.35811014143846,15.708696960577791,15.934396629551609
Census tract,Tract 206.01,17031020601,6699,8.250937606546199,8.2,9.95567678145244,81.73289183222958,49.31015452538631,6.796487208858343,55974.51948800994,24.616433685646097,49.11383776414451,2.3006134969325154,13.786639400136332
Census tract,Tract 206.02,17031020602,4662,14.705882352941178,6.2,5.488947171225178,85.23194362889019,55.079271873165006,2.4104683195592287,76873.95962643359,12.251779692768828,36.81452367583755,8.85270447314243,25.95919895189968
Census tract,Tract 207.01,17031020701,1879,5.037637521713955,5.1,6.601042269832079,89.94787788533135,61.87639612807149,8.433734939759036,84378.97948046762,8.453966415749855,61.97916666666666,10.127314814814817,15.219907407407408
Census tract,Tract 207.02,17031020702,7717,5.096852300242131,7.2,7.796610169491526,76.98083382730687,29.42106303102154,8.420473307649972,63173.28685197098,20.198956690525293,41.38135996195911,3.5425582501188777,23.466476462196862
Census tract,Tract 208.01,17031020801,5648,17.14524207011686,5.7,11.118530884808012,86.94848694848694,31.92423192423192,2.609144923792302,65975.40544377647,12.570951585976628,35.876460767946575,12.85475792988314,32.27045075125209
Census tract,Tract 208.02,17031020802,7546,18.350941662838768,6.8,8.922829581993568,72.76578575751462,34.012507565059515,9.951386903059763,57043.652432396455,18.46577859439596,25.55364314400459,6.678141135972461,25.42742398164085
Census tract,Tract 209.01,17031020901,5848,23.515131898365432,5.9,5.195015374656093,78.02746566791511,33.982521847690386,3.2407407407407405,46068.99358903259,20.828613044181907,22.23660786535038,24.097750445055837,25.667583751416085
Census tract,Tract 209.02,17031020902,4488,11.57532563283362,7.6000000000000005,15.53207176210371,85.39184952978056,30.344827586206897,2.715193529751589,45325.368530801476,23.543868272302777,32.394043528064145,19.243986254295532,14.70790378006873
Census tract,Tract 301.01,17031030101,3687,8.757463747512084,5.7,15.780494739835088,93.40544312630844,40.43963712491277,21.227115289460663,46484.359990239354,20.50042649985783,37.5319874893375,25.874324708558436,10.065396644867786
Census tract,Tract 301.02,17031030102,3121,8.371786420566908,4.5,10.41529334212261,84.64983713355049,53.37947882736156,7.877571500250878,50492.23314625435,26.268951878707973,35.61598951507208,14.809960681520314,12.057667103538664
Census tract,Tract 301.03,17031030103,2104,9.36003482803657,3.1,13.49586417065738,91.23076923076924,56.84615384615385,8.835027365129006,49224.12777568269,23.202614379084967,48.88985633434916,13.887679582063562,19.5472355245973
Census tract,Tract 301.04,17031030104,3521,8.081133290405667,4.0,7.115260785576304,92.67461669505964,57.15502555366269,12.181528662420382,42054.70196765678,28.46975088967972,58.33869929169349,8.564069542820347,14.97102382485512
Census tract,Tract 302,17031030200,5627,15.001803101334296,3.7,4.27335016227912,94.43918599148132,67.13203975390441,5.968971864317644,83812.3206814703,12.134871979805265,64.4040331292762,1.620453727043572,23.118473172488297
Census tract,Tract 303,17031030300,3148,13.16154059296204,5.7,13.577168190634524,88.984375,42.1484375,5.079217148182665,59290.11530868031,15.238879736408569,28.22624931356398,20.455793520043933,29.049972542559036
Census tract,Tract 304,17031030400,2597,11.658398299078668,4.3,8.54004252303331,97.2451790633609,56.10651974288338,3.508771929824561,89072.71150646642,12.969525159461377,58.25655563430191,5.386250885896527,25.15946137491141
Census tract,Tract 305,17031030500,6183,9.958105059619724,3.1,7.315501127940703,93.6288620226444,69.64114373440799,1.7887205387205385,100288.52126267219,4.742569433165503,59.70996216897856,6.620428751576292,20.33417402269861
Census tract,Tract 306.01,17031030601,3293,6.560580681183696,7.4,11.641541038525965,87.81960227272727,46.69744318181818,4.781235904375282,47503.97905898534,18.732551647124517,40.864492177141344,25.165738530893663,6.390877751259613
Census tract,Tract 306.03,17031030603,2045,10.325379609544468,3.5999999999999996,10.498915401301518,93.00341296928327,51.2514220705347,6.751592356687898,49788.95272743406,15.61822125813449,46.33405639913232,23.904555314533624,11.97396963123644
Census tract,Tract 306.04,17031030604,3737,4.621704895583704,5.178567558537037,19.06881205066758,94.29018380915136,67.26632772780601,3.2390745501285343,45677.467202023116,18.41834988017802,53.098254022595,17.596713454296474,8.592947620677851
Census tract,Tract 307.01,17031030701,1671,9.286775631500744,4.7,14.784546805349184,94.69320066334993,46.766169154228855,12.892741061755148,43658.40138423656,26.218611521418023,44.40026507620941,35.05632869449967,12.19350563286945
Census tract,Tract 307.02,17031030702,2318,6.840247131509268,4.2034042704192585,10.326566637246248,96.4816650148662,66.65014866204163,11.493461803165864,63313.57616628585,17.210944395410415,53.92762577228597,3.971756398940865,12.88614298323036
Census tract,Tract 307.03,17031030703,3075,5.140640155189137,6.7,19.59262851600388,92.1869015702796,59.47912677135198,9.48678071539658,51959.31094301116,25.121241513094084,55.12447462010993,13.967022308438407,17.652764306498543
Census tract,Tract 307.06,17031030706,2933,1.8160741885625968,5.2,19.860896445131377,93.74217772215268,62.07759699624531,11.401743796109994,49644.995718627295,5.564142194744977,60.7805255023184,14.296754250386398,4.095826893353941
Census tract,Tract 308,17031030800,4284,4.1330398630472,2.9,5.209097578870139,97.08050722500737,76.31966971394868,3.75,88087.93553539341,10.54047444362925,70.96317280453258,4.485363550519358,10.387157695939566
Census tract,Tract 309,17031030900,2952,4.323797139141743,3.3,8.062418725617686,95.1825951825952,75.17482517482517,4.590017825311943,93809.53894274496,5.890052356020942,71.84655396618986,3.2509752925877766,12.386215864759428
Census tract,Tract 310,17031031000,3868,7.721901621324539,3.2,7.144820005496015,98.4375,79.6875,3.768218983291859,110971.59839393065,6.372413793103449,69.87951807228916,0.8488499452354874,16.59364731653888
Census tract,Tract 311,17031031100,4691,6.083887043189369,3.1,9.032392026578073,97.34491315136476,64.93796526054591,2.9069767441860463,72446.13545109695,15.427740863787376,68.74234381380155,12.53572886892609,7.309105757452021
Census tract,Tract 312,17031031200,5541,15.906680805938494,7.5,26.193001060445383,75.38593481989709,36.77101200686106,5.550500454959054,22362.850240688567,35.97949080622348,24.797843665768195,37.82008086253369,23.04582210242588
Census tract,Tract 313,17031031300,6719,12.1989121989122,6.1,21.056721056721056,90.56633789373213,47.0728603245307,3.042596348884381,59231.43219681004,16.73412204234122,54.51627024660732,14.519188676492048,13.264263826061578
Census tract,Tract 314,17031031400,5221,5.113511130703108,3.7,9.940489310116815,97.82555582702174,74.07769362325922,1.553062985332183,75670.03890947004,4.915142164425832,72.89220917822838,4.695837780149413,7.406616862326574
Census tract,Tract 315.01,17031031501,4155,7.640546993705231,6.9,18.66724549598437,83.37057133737632,46.76029364826045,5.3350970017636685,44827.479003527136,46.29911004992403,34.6551724137931,35.81896551724138,11.810344827586206
Census tract,Tract 315.02,17031031502,4712,16.926406926406926,6.2,13.463203463203463,85.8974358974359,53.23565323565324,8.316909735908554,43267.79192085006,27.943722943722943,39.3336218087408,34.40069234097793,16.72436174816097
Census tract,Tract 317,17031031700,6294,6.004657351962741,4.0,10.4457751164338,95.20862447594332,72.84887203034538,4.396959112389562,77723.94782492956,13.988689288090486,67.24955058016016,15.018793920575256,9.93626409544043
Census tract,Tract 318,17031031800,1910,7.710501419110691,2.3,6.622516556291391,98.2780612244898,73.15051020408163,6.781829814459373,74154.36416069567,12.428842504743832,53.02743614001892,4.588457899716178,18.25922421948912
Census tract,Tract 319,17031031900,2522,3.930492345883326,3.1,4.385601985932975,95.01557632398756,76.58359293873312,1.4634146341463417,86066.11894673794,1.779064956557716,72.5279271824576,9.64004964832437,9.598676044683492
Census tract,Tract 321,17031032100,7543,9.9229152067274,3.7,9.880868955851437,89.7708674304419,55.36824877250409,5.421353494375807,63554.72707912775,16.860546601261387,53.85355131199341,11.938453084214864,19.068553372716032
Census tract,Tract 401,17031040100,3905,4.517294785751162,3.7,5.60144553433144,94.65936323176994,69.05169462512838,1.407884151246983,85802.04494332171,7.356737222509034,64.72201446023436,8.50162054350536,18.29967589129893
Census tract,Tract 402.01,17031040201,6408,5.47740197545645,3.3,5.701885662975157,95.856512564742,66.142336466526,5.223068552774755,91347.59901506244,4.02634336177219,73.32535885167464,1.5400717703349285,15.296052631578949
Census tract,Tract 402.02,17031040202,7318,23.218862121988725,5.5,6.817016914402871,83.67649786681505,44.57429048414024,10.581289736603088,53450.22875396526,19.515633008713483,30.018832391713744,4.218455743879472,34.65160075329567
Census tract,Tract 403,17031040300,2928,13.654618473895583,4.7,5.4886211512717535,90.07773205304068,53.54366712391404,10.354857475276322,79753.09980256882,13.68846931894808,43.38883447600392,4.538034606594842,24.55109369898792
Census tract,Tract 404.01,17031040401,3129,6.237248615563976,2.7,5.362867968522297,91.01460127293149,64.13328341445151,3.0967127203430205,98186.93231881807,4.4749926879204445,57.65083066161469,2.8271640921014285,23.141941125036432
Census tract,Tract 404.02,17031040402,4746,6.694468832309044,2.2,7.550482879719052,99.22344689378755,77.20440881763527,5.990656773838967,86311.85447769471,7.136602451838879,73.87033398821218,2.685003274394237,16.35014189041694
Census tract,Tract 406,17031040600,2530,8.258527827648116,2.3,6.535008976660682,97.1869328493648,78.17604355716878,2.45074483421432,89488.07790767319,8.07899461400359,75.18850987432674,4.991023339317774,15.296229802513464
Census tract,Tract 407,17031040700,3426,4.161109629234463,2.9,5.6548412910109365,96.47058823529412,76.06617647058823,6.344294003868472,96643.7498613545,8.744635193133048,71.11229661242999,3.280874899973326,7.762069885302747
Census tract,Tract 408,17031040800,1636,3.932946486137976,3.3,4.31979368149581,97.18844984802432,72.3404255319149,3.0,96735.4422236518,4.835589941972921,70.19657577679138,1.7755231452124285,18.96005072923272
Census tract,Tract 409,17031040900,2063,12.961116650049853,2.6,7.32801595214357,98.45009299442032,75.82145071295723,6.770833333333333,73173.25588411455,4.536390827517447,81.90428713858424,0.0997008973080757,13.21036889332004
Census tract,Tract 501,17031050100,2568,4.058893752487068,2.4,4.257859132510943,98.4792868379654,82.59045621394861,3.543098889476468,113633.42767142128,4.257859132510943,87.10704337445284,2.825308396339037,5.889375248706725
Census tract,Tract 502,17031050200,5309,2.398124774612333,3.4,11.44969347277317,92.93117193728408,78.71379218708478,4.349280695884912,127036.10026841766,5.427335016227912,75.00901550667147,0.9736747205192932,14.26253155427335
Census tract,Tract 503,17031050300,2671,3.534817956875221,3.2,8.024036762106752,98.74939874939876,67.43626743626744,2.3702031602708806,150031.6278089576,4.577714691270404,57.44079179922233,1.025097207493814,17.42665252739484
Census tract,Tract 505,17031050500,5117,2.942873629544143,2.7,4.250817464897096,98.81489841986456,83.52144469525959,2.4366471734892787,130705.62860755561,1.854355804519992,84.18926716676283,0.0384689363339103,5.212540873244855
Census tract,Tract 506,17031050600,2443,1.478494623655914,2.2,6.093189964157706,100.0,87.11727325245523,3.9365079365079367,100117.05654517624,4.704301075268817,84.58781362007169,0.7168458781362007,7.302867383512544
Census tract,Tract 507,17031050700,1513,7.348901098901099,2.3,5.21978021978022,99.63403476669716,88.47209515096066,5.123339658444023,115017.06541848753,9.546703296703296,85.50824175824175,0.0,11.195054945054943
Census tract,Tract 508,17031050800,1406,1.072961373390558,2.4,3.934191702432046,96.44087256027557,72.78989667049368,3.99529964747356,158525.09132855653,0.7153075822603719,61.23032904148784,3.862660944206009,22.818311874105863
Census tract,Tract 509,17031050900,1426,2.809798270893372,3.0,5.3314121037463975,95.224171539961,73.58674463937622,1.0895883777239708,119905.18525255662,2.23342939481268,73.05475504322767,1.9452449567723344,17.219020172910664
Census tract,Tract 510,17031051000,1538,1.054481546572935,2.2,2.460456942003515,97.88101059494704,80.11409942950284,2.2461814914645104,165504.71394662702,3.397773872290568,72.11482132396017,1.9332161687170475,11.892208553016989
Census tract,Tract 511,17031051100,1599,2.729658792650919,2.6,1.889763779527559,96.5981012658228,79.19303797468355,3.0560271646859083,145923.80997803854,7.769028871391076,67.3490813648294,1.1023622047244095,19.84251968503937
Census tract,Tract 512,17031051200,1581,4.005252790544977,2.0,4.530531845042679,98.78154917319408,87.46736292428199,5.029585798816568,152916.26952683067,6.042496679946879,73.28680203045685,2.855329949238578,9.708121827411167
Census tract,Tract 513,17031051300,2907,0.2924926876828079,1.9,4.224894377640559,98.57433808553972,84.77596741344196,5.454545454545454,200258.87002817277,1.9824504387390316,66.3958401039974,7.702307442313942,17.12707182320442
Census tract,Tract 514,17031051400,2492,6.094182825484765,2.7999999999999994,5.025722200237436,96.21432731508445,71.40361094933023,4.633204633204633,141246.58257725326,10.09861932938856,61.89349112426036,8.796844181459566,11.794871794871794
Census tract,Tract 601,17031060100,2830,2.328508495909377,2.3,3.052234109502832,97.77382012466607,88.06767586821015,1.830776843146957,124034.09232680405,2.800503461296413,74.79546884833228,0.2202643171806167,11.32787916928886
Census tract,Tract 602,17031060200,2313,4.052165812761994,2.8,6.56730321378668,98.56733524355302,80.74498567335243,4.192740926157698,81759.32868963375,7.871448532836515,73.21844434094085,4.797391709361901,17.37307871448533
Census tract,Tract 603,17031060300,3076,0.9216589861751152,2.1,9.003899326479972,99.2961051149695,74.98826841858282,2.689352360043908,128483.92266909203,3.934774902516838,74.76072314781992,1.914214817440624,14.888337468982629
Census tract,Tract 604,17031060400,3709,1.5442969384990517,2.0,2.221620157138987,99.2354740061162,85.16819571865443,4.050334250884782,148551.71308147916,2.8265642151481885,80.33053373069629,1.219181793551883,9.672175562178271
Census tract,Tract 605,17031060500,1374,2.8749028749028747,6.4,17.482517482517483,84.5213849287169,54.68431771894093,4.066265060240964,49743.10654628541,27.03962703962704,72.96037296037296,4.662004662004662,8.391608391608392
Census tract,Tract 608,17031060800,5295,5.264147396127092,2.3,15.52923481857492,98.704200178731,76.74262734584451,3.0179640718562872,74413.85354599703,7.106598984771575,64.31660086482421,3.6473021244594848,11.975935326189132
Census tract,Tract 609,17031060900,7104,6.06366124153824,2.9,10.096500072014978,98.13328681088626,82.04815073272854,7.169669669669669,76655.73180416602,7.388736857266312,77.31528157856835,2.045225406884632,9.419559268327813
Census tract,Tract 610,17031061000,2279,1.161790017211704,1.8,3.786574870912221,92.28504122497056,78.56301531213192,3.70566437268396,117248.85751680382,15.275387263339072,67.98623063683304,2.108433734939759,9.72461273666093
Census tract,Tract 611,17031061100,1367,7.103064066852367,1.4,5.64066852367688,100.0,83.53196099674973,0.7234726688102894,99172.62521351405,5.571030640668524,77.15877437325905,3.3426183844011144,14.972144846796656
Census tract,Tract 612,17031061200,1932,3.265107212475633,1.8000000000000003,4.044834307992202,95.324494068388,80.73970690858339,1.095360824742268,100383.88131946139,7.066276803118908,75.82846003898635,3.606237816764133,12.719298245614036
Census tract,Tract 615,17031061500,1797,2.8175976272862084,1.7,2.323282254078101,99.5189003436426,85.15463917525773,1.603592046183451,121950.84185540938,7.26643598615917,80.86999505684626,4.102817597627286,5.7834898665348495
Census tract,Tract 618,17031061800,1051,9.551495016611296,2.5,9.30232558139535,100.0,76.43865363735071,8.87185104052574,63496.96089088045,13.818181818181818,68.93687707641196,2.3255813953488373,12.458471760797345
Census tract,Tract 619.01,17031061901,3625,2.104065965311345,2.7,16.83252772249076,98.35058214747735,73.90038809831823,3.9914163090128754,56448.56900108698,20.55729314756895,69.00767699744101,7.847597384134206,13.761728746090418
Census tract,Tract 619.02,17031061902,4665,8.080194410692588,3.6,6.642365330093155,98.83485309017225,85.41033434650456,4.9545587804163,79593.55509217152,7.391656541109761,72.5192385581207,5.994329688132847,6.237343053867963
Census tract,Tract 620,17031062000,2843,1.799307958477509,1.6,3.598615916955018,100.0,87.90546802594996,1.354679802955665,101090.82943277356,5.294117647058823,77.5432525951557,4.325259515570934,8.20069204152249
Census tract,Tract 621,17031062100,3817,5.751238304898184,2.0,5.97138139790864,99.25049309664692,84.65483234714004,3.518873960332693,90969.82648239756,8.447613823368075,77.29018102029622,3.812397147558968,9.736697750959957
Census tract,Tract 622,17031062200,3244,2.4428934010152283,1.7000000000000002,2.3477157360406093,98.1951219512195,89.02439024390245,4.386353566681436,181856.21291510458,7.677664974619288,76.45939086294416,0.9200507614213198,13.927664974619288
Census tract,Tract 623,17031062300,1667,1.9266625233064012,1.6,1.4294592914853943,99.34065934065934,92.63736263736264,0.592885375494071,208829.3551321014,4.2883778744561845,81.60348042262274,0.9322560596643878,6.463642013673089
Census tract,Tract 624,17031062400,1673,1.3340744858254583,2.1,7.281823235130629,96.38183217859893,83.52578906851424,4.265791632485644,149000.08873311296,4.780433574207893,80.1556420233463,5.28071150639244,8.615897720956086
Census tract,Tract 625,17031062500,1675,3.169014084507042,2.2,4.577464788732395,96.79037111334004,81.34403209628887,7.181818181818183,133781.90736263004,14.084507042253522,71.40845070422536,3.5211267605633805,12.183098591549296
Census tract,Tract 626,17031062600,2477,2.825811893715732,1.8,0.8013496415014763,97.89137380191694,88.81789137380191,3.5050071530758222,179127.44821313693,2.6571067060312106,74.73639814424293,1.687051876845213,9.23660902572754
Census tract,Tract 627,17031062700,2955,2.1667760998030205,2.2,5.121470781352593,98.60234445446348,89.58521190261497,4.088194763435921,138528.82095876127,7.472021066491112,81.22127380170716,1.411687458962574,5.121470781352593
Census tract,Tract 628,17031062800,3851,2.634437805540468,1.8,3.96523628462792,98.68630573248409,89.68949044585987,1.261127596439169,152702.62632267797,3.9462866538777743,80.20097772949484,1.493753394894079,8.799565453557848
Census tract,Tract 629,17031062900,4125,1.2808119864668923,1.7,4.760753987433543,99.69869434214932,83.59558085035152,2.636594663278272,145871.54533152908,3.286611889801837,70.46882551957468,6.259062348960851,10.02899951667472
Census tract,Tract 630,17031063000,3417,2.1998166819431715,1.7,2.933088909257562,96.81227863046044,86.93427784336876,5.424254165052305,95407.73681758689,8.982584784601283,77.10365853658536,3.841463414634146,8.353658536585366
Census tract,Tract 631,17031063100,2376,5.952380952380952,1.8,4.336734693877551,97.57882882882885,88.51351351351352,1.8208661417322836,91218.31278422325,7.397959183673469,84.90646258503402,0.0,5.314625850340136
Census tract,Tract 632,17031063200,6900,0.0,3.0,8.193343898573692,99.16666666666669,88.46014492753623,3.044354838709677,74289.15193327269,1.774960380348653,79.51410658307209,5.862068965517241,6.661442006269593
Census tract,Tract 633.01,17031063301,2833,4.077540106951872,2.7,14.371657754010696,96.38231353282715,83.02813756141134,2.416452442159383,60926.823975687126,20.755347593582886,65.04010695187165,6.08288770053476,14.672459893048128
Census tract,Tract 633.02,17031063302,4577,4.92442710872745,2.1,6.679668454412482,98.86064855390008,89.33683903009056,5.01082585833591,86349.4483462366,4.583130180399805,82.35007313505606,3.2910775231594345,4.266211604095563
Census tract,Tract 633.03,17031063303,1274,0.0,4.7,18.12080536912752,99.46332737030411,81.21645796064401,8.862629246676514,93984.6713547328,9.312080536912752,77.54590984974958,1.0851419031719534,2.003338898163606
Census tract,Tract 634,17031063400,2417,10.102669404517457,1.6,4.558521560574948,100.0,86.04492852280463,1.6463090812533192,87871.54156037178,5.749486652977413,78.39835728952772,4.229979466119096,9.034907597535934
Census tract,Tract 701.01,17031070101,4171,1.57102334715252,3.4,7.767837660920794,96.97469746974696,80.06050605060506,2.756809977026584,85753.44799130414,10.45166921230635,78.4202487453633,2.051058258782457,10.473488981016802
Census tract,Tract 701.02,17031070102,3063,3.4055727554179565,2.0,2.442380460956312,99.2530755711775,88.88400702987698,1.0452961672473868,84944.72135584196,5.813553491572067,75.20134228187919,5.704697986577181,5.604026845637584
Census tract,Tract 701.03,17031070103,1845,2.223766504517026,1.9,8.408617095205004,100.0,87.22943722943724,0.8688783570300158,71634.65804476585,15.149409312022238,72.68936761640028,7.435719249478804,8.339124391938846
Census tract,Tract 702,17031070200,4200,2.42080865310327,2.2,6.38681431882565,97.98766634209672,79.51963648166179,5.417463352453792,99103.85594179107,5.330929693535926,75.54117939786016,2.936053744712615,10.325951729285892
Census tract,Tract 703,17031070300,4349,4.085908852802515,1.6,3.823991618648507,100.0,96.46569646569648,2.071428571428571,175179.1750926152,12.275132275132275,85.8302776322682,1.8334206390780516,4.845468831849136
Census tract,Tract 704,17031070400,3250,0.7307804735457468,3.5,4.063139432914353,95.74660633484164,87.05882352941177,1.0223953261927945,223541.39466270324,10.435545162233264,82.7828120432622,0.2630809704764689,5.173925752703887
Census tract,Tract 705,17031070500,3322,0.0,2.8,3.3593484899898205,97.77111015859408,80.92584654950707,1.1391778107974244,171241.9050555691,1.5948422124194097,85.40031397174255,3.736263736263736,4.395604395604396
Census tract,Tract 706,17031070600,3449,2.0037570444583594,2.1,2.2855353788353163,97.8319783197832,91.05691056910568,0.9958071278825996,229231.8226668737,5.698184095178459,82.02880400751408,0.720100187852223,5.510331872260489
Census tract,Tract 707,17031070700,3699,1.8978882651697409,2.6,3.929430633520449,94.98535871156662,77.12298682284042,1.9255455712451863,146707.77967568047,6.843090082865544,62.28281208233093,8.393477679764768,14.327719860999732
