Layer,Name,GEOID,Population,UNS_2019-2023,MCD_2019-2023,CZM_2020-2024,EVR_2018,EKW_2024,RBU_2019-2023,LNG_2022,CAN_2022,DIS_2019-2023,HTJ_2019-2023
(Indicator name),,,,"Uninsured rate (% of residents), 2019-2023","Medicaid coverage (% of residents), 2019-2023","Major crime (crimes), 2020-2024","Eviction rate (% of renter-occupied households), 2018","Walkability Index, 2024","Rent-burdened (% of renter-occupied housing units), 2019-2023","Chronic obstructive pulmonary disease (COPD) (% of adults), 2022","Have ever had cancer (% of adults), 2022","Disability, from American Community Survey (% of residents), 2019-2023","Crowded housing (% of occupied housing units), 2019-2023"
(Definition),,,,"Percent of residents without health insurance (at the time of the survey).","Percent of residents covered by Medicaid, a state-administered health insurance program for residents meeting certain income limits and other eligibility standards that vary by state.","The most serious offenses, also known as index crimes. Includes homicide, criminal sexual assault, robbery, aggravated assault, aggravated battery, burglary, larceny, vehicle theft, and arson.","Percentage of renter-occupied housing units with an eviction over the past year. An eviction happens when a landlord expels people from property he or she owns. Evictions are landlord-initiated involuntary moves that happen to renters. This is based on available eviction records and estimates for missing data, and does not include voluntary move-outs or evictions that take place outside of the legal system. A high eviction rate could be based on a high number of evictions, a very low number of renter-occupied units, or both.","A ranking of an area's walkability, based on intersection density, proximity to transit, diversity of businesses, and density of housing. Values range from 1 to 20 with 20 being most walkable","Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Percent of resident adults aged 18 and older who report ever having been told by a doctor, nurse, or other health professional that they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis. Data for counties and states are age-adjusted. Data for zips, tracts and smaller layers are raw.","Percent of resident adults aged 18 and older who report ever having been told by a doctor, nurse, or other health professional that they have cancer (other than skin cancer). Data for counties and states are age-adjusted. Data for zips, tracts and smaller layers are raw.","Percent of residents with a disability, defined as one or more sensory disabilities or difficulties with everyday tasks, reported by American Community Survey.","Percent of occupied housing units with more than one occupant per room (e.g. three occupants in a one-bedroom apartment)."
(Citation),,,,"American Community Survey (Tables B27001/C27001)","American Community Survey (ACS) (Tables S2704, S2701, and B27010)","Crime data portal","The Eviction Lab at Princeton University (All yearly data), Cook County Sheriff's Office of Research (Monthly data in Chicago only)","Agency for Toxic Substances and Disease Registry - Environmental Justice Index","American Community Survey (Table B25070)","PLACES (Sub-county data (zip codes, tracts)), Behavioral Risk Factor Surveillance System (BRFSS) (County and state level data)","PLACES (Sub-county data (zip codes, tracts)), Behavioral Risk Factor Surveillance System (BRFSS) (County and state level data)","American Community Survey (Table S1810)","American Community Survey (Table B25014)"
---,---,---,---,---,---,---,---,---,---,---,---,---,---
Census tract,Tract 101,17031010100,4905,11.80038599393438,18.72070581748001,162.8,0.8,12.83,53.564290473017984,5.6,5.4,17.700578990901572,1.9634703196347032
Census tract,Tract 102.01,17031010201,6939,14.027447875428871,38.77012404328319,154.6,0.83,15.0,43.386004514672685,7.4,4.5,10.649247822644496,10.566161948650429
Census tract,Tract 102.02,17031010202,2742,14.49462365591398,25.591397849462368,320.8,0.68,15.83,59.53488372093023,5.9,6.2,17.548387096774192,7.964601769911504
Census tract,Tract 103,17031010300,6305,17.459138187221395,18.406389301634473,185.6,0.24,15.04,46.38865004299226,5.6,6.9,14.227340267459136,5.337519623233909
Census tract,Tract 104,17031010400,5079,8.99112564222326,13.42830453059318,199.0,0.64,14.5,49.19093851132686,4.7,4.3,16.837926202709014,0.0
Census tract,Tract 105.01,17031010501,4206,6.649616368286446,19.948849104859335,110.0,0.63,13.44,44.553483807654565,3.7,5.2,21.540210287013355,0.0
Census tract,Tract 105.02,17031010502,3278,8.981676179032743,12.07569840793031,59.6,0.57,14.33,53.8527397260274,3.8,4.0,15.199759687593872,3.604153940134392
Census tract,Tract 105.03,17031010503,2565,2.7426160337552745,30.27426160337553,101.8,0.11,16.08,49.15384615384615,8.8,6.1,26.40646976090014,3.3175355450236967
Census tract,Tract 106,17031010600,6225,9.032651815685078,20.35398230088496,190.0,0.22,14.5,54.310344827586206,3.4,4.9,8.193469636862986,5.185909980430528
Census tract,Tract 107.01,17031010701,3673,16.428771340610133,13.3781136300028,75.4,1.02,12.83,48.19711538461539,4.8,5.4,9.040022390148335,8.7772397094431
Census tract,Tract 107.02,17031010702,4776,13.501454898157128,29.738118331716777,115.6,0.56,15.12,43.13358302122347,5.8,4.0,8.069835111542192,7.857857857857859
Census tract,Tract 201,17031020100,4202,20.339399901623217,31.11165764879488,90.6,1.78,13.92,46.83663833805477,6.2,5.9,6.271519921298574,8.150851581508515
Census tract,Tract 202,17031020200,7128,16.493127863390253,19.325281132861303,81.4,1.49,16.17,40.08528784648187,4.5,6.9,5.844786894349577,4.852426213106553
Census tract,Tract 203.01,17031020301,5261,4.741467402411608,14.510525240138977,69.6,0.53,14.11,51.14503816793893,6.0,9.9,18.25056202738606,2.341137123745819
Census tract,Tract 203.02,17031020302,5010,5.692850838481906,16.968225948808474,109.8,0.29,14.72,50.61919504643962,6.0,7.6,5.141218005295675,0.8766803039158386
Census tract,Tract 204,17031020400,4435,18.455831207975887,20.032460004637144,92.4,0.8,13.5,49.78021978021978,6.2,6.3,8.393229770461396,4.6865846514352665
Census tract,Tract 205,17031020500,6599,17.82117790662191,38.57186451022277,148.2,0.71,14.96,46.93741677762983,7.0,4.9,8.69697894415624,15.384615384615383
Census tract,Tract 206.01,17031020601,6699,7.891202149093352,47.12894560107455,92.0,0.47,15.11,46.5158371040724,6.5,5.5,9.553391537944927,6.627680311890838
Census tract,Tract 206.02,17031020602,4662,15.274555297757152,25.59938128383604,95.0,0.0,13.38,42.712842712842715,4.1,5.5,8.178654292343387,9.497206703910614
Census tract,Tract 207.01,17031020701,1879,11.757648470305938,12.41751649670066,48.2,0.0,16.33,53.52112676056338,4.3,8.0,6.53869226154769,2.6737967914438503
Census tract,Tract 207.02,17031020702,7717,4.652560711709546,28.732868477999517,184.8,0.36,14.75,38.265306122448976,7.0,5.8,8.187064198124549,19.09931644551669
Census tract,Tract 208.01,17031020801,5648,19.291483113069017,26.505139500734217,94.8,0.25,14.54,48.36065573770492,5.4,6.0,10.00367107195301,4.11275415896488
Census tract,Tract 208.02,17031020802,7546,19.45264592323416,47.39950034067681,145.6,0.5,14.5,37.98177995795375,5.5,4.2,7.120145355439473,9.976470588235294
Census tract,Tract 209.01,17031020901,5848,19.869965112591185,41.62702188392007,140.6,1.15,13.22,55.152394775036285,6.6,4.0,8.452267681573105,10.30741410488246
Census tract,Tract 209.02,17031020902,4488,14.146469968387777,36.459430979978926,120.0,1.05,14.5,51.29469790382244,7.2,5.6,17.781875658587985,6.010230179028133
Census tract,Tract 301.01,17031030101,3687,9.98212157330155,31.97258641239571,97.8,1.07,12.83,59.45762711864406,6.0,7.2,18.921334922526817,6.01295097132285
Census tract,Tract 301.02,17031030102,3121,10.05010315355143,23.22428529325081,82.6,0.58,11.61,46.6893039049236,6.5,6.0,9.018567639257292,0.5027652086475616
Census tract,Tract 301.03,17031030103,2104,11.91304347826087,10.82608695652174,38.4,0.46,12.08,44.31818181818182,5.0,4.2,9.869565217391305,9.807516040329972
Census tract,Tract 301.04,17031030104,3521,8.43869450161717,3.6753895912966774,27.2,0.48,8.58,58.231707317073166,4.6,3.8,3.881211408409292,2.7804410354745923
Census tract,Tract 302,17031030200,5627,16.434641113722652,4.140300126559392,191.0,0.31,16.0,35.81710414902625,3.6,6.1,5.532453444223467,1.460718515594157
Census tract,Tract 303,17031030300,3148,21.91235059760956,19.52191235059761,57.4,0.66,14.83,39.63868225292242,5.5,5.9,14.802329144958629,5.034013605442176
Census tract,Tract 304,17031030400,2597,12.787456445993032,11.846689895470384,48.4,0.61,16.5,30.022075055187635,4.5,6.4,7.979094076655052,5.1698670605613
Census tract,Tract 305,17031030500,6183,10.501269035532996,5.567893401015228,157.4,0.27,15.29,25.611510791366904,3.1,5.2,5.32994923857868,0.0
Census tract,Tract 306.01,17031030601,3293,8.905068608232988,18.034164099691964,70.2,0.46,11.28,59.219088937093275,5.6,6.6,9.465135816297956,7.442348008385744
Census tract,Tract 306.03,17031030603,2045,9.29264909847434,20.434581599630143,91.6,0.22999999999999998,10.58,35.1010101010101,3.6,3.6,10.91077207582062,7.526080476900149
Census tract,Tract 306.04,17031030604,3737,2.5420694593626925,17.042606516290725,42.4,0.5767017384515858,10.86,45.49608355091384,5.0,6.6,17.866093805943432,3.158406219630709
Census tract,Tract 307.01,17031030701,1671,10.980103168754605,20.412675018422995,71.2,0.97,12.67,46.65718349928876,5.2,5.1,11.274871039056745,2.684563758389262
Census tract,Tract 307.02,17031030702,2318,9.223080417991822,14.720581553839162,,0.5456373500238916,12.46,51.876019575856446,5.0,8.8,8.496138119036802,6.382978723404255
Census tract,Tract 307.03,17031030703,3075,4.965920155793573,29.211295034079843,149.4,0.38,13.94,43.60294117647059,5.1,6.9,16.877637130801688,1.0610079575596816
Census tract,Tract 307.06,17031030706,2933,3.8373860182370825,14.665653495440733,76.8,0.6999999999999998,13.58,67.05394190871368,5.4,9.5,20.32674772036474,2.18978102189781
Census tract,Tract 308,17031030800,4284,6.349578256794752,5.084348641049672,75.0,0.19,15.12,41.3469068128426,3.3,6.6,4.522024367385192,0.0
Census tract,Tract 309,17031030900,2952,3.662634408602151,7.627688172043011,119.4,0.0,17.38,40.35087719298245,3.6,6.2,7.896505376344086,0.5710659898477157
Census tract,Tract 310,17031031000,3868,7.050435701082651,6.971217322418802,93.4,0.25,15.28,37.29773462783171,2.8,5.3,9.506205439662002,0.0
Census tract,Tract 311,17031031100,4691,9.12242686890574,15.60130010834236,81.0,0.48,15.56,35.93429158110883,2.8,4.5,13.694474539544965,0.644504748982361
Census tract,Tract 312,17031031200,5541,17.991558213155116,40.09848751319029,233.0,0.7,15.04,56.47632311977716,8.3,5.2,24.83292296869504,1.875532821824382
Census tract,Tract 313,17031031300,6719,17.072037180480248,18.590240123934933,104.6,0.14,13.6,42.43607954545455,6.9,8.1,21.09992254066615,1.771697690065037
Census tract,Tract 314,17031031400,5221,4.618736383442266,6.339869281045751,195.6,0.8,14.28,51.30699088145897,3.0,7.6,9.956427015250544,0.4085480829666876
Census tract,Tract 315.01,17031031501,4155,9.29553980825344,40.07919966652772,103.2,0.51,13.33,51.35453474676089,6.9,5.2,16.81950812838683,5.182341650671785
Census tract,Tract 315.02,17031031502,4712,13.9027027027027,40.34594594594594,92.6,0.79,12.0,48.04395604395605,6.0,4.4,13.318918918918918,2.344992050874404
Census tract,Tract 317,17031031700,6294,5.962239152037099,9.556144418681685,159.8,0.59,14.62,38.63636363636363,3.4,4.3,11.974163630341172,2.290555381236272
Census tract,Tract 318,17031031800,1910,8.484848484848486,8.88888888888889,53.6,0.0,17.0,35.810810810810814,2.9,4.8,7.474747474747474,7.62970498474059
Census tract,Tract 319,17031031900,2522,3.763658437879401,8.29623634156212,84.6,0.0,14.25,42.615558060879366,2.7,5.1,5.503844597329017,0.0
